model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RWCK,10,audio,ALPHA_RW,0.26579,1,-314.58,720,4,655.4770048480403
RWCK,10,audio,BETA_RW,6.41749,1,-314.58,720,4,655.4770048480403
RWCK,10,audio,ALPHA_CK,0.88663,1,-314.58,720,4,655.4770048480403
RWCK,10,audio,BETA_CK,0.98512,1,-314.58,720,4,655.4770048480403
RWCK,10,audio,MENU_TIME,2.0,0,-314.58,720,4,655.4770048480403
RWCK,10,audio,HOTKEY_TIME,0.9,0,-314.58,720,4,655.4770048480403
RWCK,10,audio,LEARNING_COST,1.8,0,-314.58,720,4,655.4770048480403
RWCK,10,audio,ERROR_COST,3.0,0,-314.58,720,4,655.4770048480403
